feature,importance
international_plan,0.20213340591479273
total_day_charge,0.1907260880098022
number_customer_service_calls,0.1201140434738212
total_eve_minutes,0.07747781054214417
total_eve_charge,0.06977826439544083
voice_mail_plan,0.06706140887849622
total_day_minutes,0.06590313315418203
total_intl_calls,0.03627161572982956
total_night_minutes,0.02360935542328284
total_night_charge,0.02005019544428414
total_intl_charge,0.017691299518499754
total_intl_minutes,0.0120889932610235
total_day_calls,0.011586099687405857
total_night_calls,0.010993659983055274
account_length,0.010593760530029504
total_eve_calls,0.009612120554066574
number_vmail_messages,0.007773218239073764
state_SD,0.0038041454243270493
state_DC,0.0037452133197673314
state_OH,0.0021070227393133185
state_ID,0.0020455444454637365
state_WI,0.0018498119632775643
state_RI,0.0017424538245065556
state_NH,0.0015377749666485858
state_NJ,0.0014833736102541873
state_IN,0.0014444383955504719
area_code_area_code_408,0.0014073071163651434
state_SC,0.0013931887636211922
state_NY,0.0013699609867949393
state_PA,0.0013090715864972648
state_IL,0.0012894740280043533
state_VA,0.0012296629440521878
state_KS,0.0011997051011126418
state_AZ,0.0011601101451090127
state_MS,0.0011561531827520653
area_code_area_code_415,0.0011327110599690419
state_MD,0.001081990824376968
state_OR,0.0010751138476847225
state_NM,0.0010474708916720114
state_TX,0.0010189561213870622
state_CA,0.0010157591089473123
state_CO,0.0009310353708968001
state_LA,0.0009041168494357198
state_WA,0.0008944889378518254
state_NC,0.0007916216024864662
state_WY,0.000764627858165879
state_UT,0.0006300026657067526
state_ME,0.0006251412987459258
state_IA,0.0005582669882423099
state_ND,0.0004907406186402134
state_HI,0.00041213334628406
state_MT,0.000396202587333283
state_CT,0.0003245505950339105
state_NE,0.00029478722555760273
state_MA,0.0002797730371832192
state_OK,0.0001710331573662841
state_DE,0.00016564425966778183
state_GA,6.39438457076359e-05
state_NV,5.725050824745548e-05
state_TN,2.8904236555894064e-05
state_FL,2.7629916476650337e-05
state_MN,2.0357133984276932e-05
state_AR,1.9766160953508652e-05
state_MI,8.756505909795924e-06
state_AL,8.395893459731392e-06
state_AK,6.005692939420785e-06
state_VT,3.4278267304619512e-06
state_KY,2.9180614341714036e-06
state_WV,2.8222806447426765e-06
state_MO,2.593624253918489e-06
area_code_area_code_510,2.1747774191636915e-06
