modelo,best_C,best_gamma,cv_accuracy,train_accuracy,holdout_accuracy,holdout_f1_macro
SVC RBF - todos los atributos,10,0.01,0.9789473684210526,0.989501312335958,0.9787234042553191,0.9769607843137255
SVC RBF - overlap < 0.45,1000,0.001,0.9790148448043186,0.9868766404199475,0.9574468085106383,0.9536203281115085
